time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
1.277609,4,314.774,87.399,2319.099,189.689,3144.457,134.814,4053.706,773.223,--undefined--,--undefined--
1.283859,4,309.435,83.667,2316.609,137.207,3167.946,122.739,4014.846,752.532,--undefined--,--undefined--
1.290109,5,303.949,67.926,2310.448,3030.021,2335.271,230.073,3171.563,112.721,4085.071,513.128
1.296359,5,300.252,75.353,2290.919,201.271,2967.670,4989.856,3159.510,167.827,4083.362,820.255
1.302609,4,299.771,68.995,2301.545,179.299,3134.063,195.911,3937.699,1276.083,--undefined--,--undefined--
1.308859,4,303.173,73.635,2264.367,143.895,3204.417,144.086,3787.010,1145.573,--undefined--,--undefined--
1.315109,4,304.863,88.470,2242.120,105.736,3243.185,128.094,3998.928,867.133,--undefined--,--undefined--
1.321359,4,298.924,82.577,2268.423,143.370,3262.329,132.492,4126.205,622.414,--undefined--,--undefined--
1.327609,4,296.636,70.946,2348.242,241.104,3181.089,179.520,3995.260,1135.695,--undefined--,--undefined--
1.333859,5,295.853,58.027,2364.285,315.660,2529.544,2985.249,3175.500,185.039,4088.776,813.693
1.340109,5,296.298,57.970,2368.511,234.920,2414.961,3446.593,3195.334,193.303,4114.253,705.695
1.346359,5,295.011,48.833,2385.072,3696.110,2385.411,251.351,3165.035,182.858,4128.605,704.912
1.352609,5,293.993,51.573,2400.797,358.638,2539.766,2047.792,3187.810,181.367,4021.492,1038.043
1.358859,5,287.605,47.376,2347.615,446.639,2677.756,1245.938,3152.798,225.466,4186.348,786.888
1.365109,5,283.424,38.621,2309.886,282.032,2738.078,1290.157,3160.001,218.519,4256.200,466.660
1.371359,5,284.459,51.330,2293.519,247.990,2609.168,2201.402,3153.398,231.174,4199.625,745.014
1.377609,5,282.630,56.480,2287.515,259.343,2918.232,2344.341,3163.590,166.450,4216.971,974.832
1.383859,5,282.449,45.316,2323.492,247.306,2596.902,1856.050,3188.675,169.710,4173.934,417.125
1.390109,5,278.961,29.157,2325.407,326.418,2649.904,998.295,3187.574,207.095,4178.971,361.585
1.396359,5,279.560,31.786,2285.410,337.033,2773.935,884.083,3173.214,246.953,4246.905,361.086
1.402609,5,279.079,33.898,2263.527,214.672,2803.333,1306.707,3196.431,201.820,4263.086,330.994
1.408859,5,278.185,30.933,2286.249,264.318,2833.567,1574.406,3175.407,216.997,4232.683,241.504
1.415109,5,280.859,36.183,2317.437,312.381,2700.544,2827.685,3143.739,179.955,4232.084,294.470
1.421359,5,279.631,35.231,2318.335,266.319,3009.693,1920.111,3122.966,164.215,4270.556,574.061
1.427609,5,281.294,33.971,2297.966,150.941,3047.800,223.331,3317.286,1270.439,4423.296,909.652
1.433859,5,285.562,38.672,2280.711,149.816,3079.227,155.754,3101.770,2825.379,4242.220,531.390
1.440109,5,288.589,41.923,2298.101,206.109,2940.031,2652.816,3087.349,182.286,4262.898,626.408
1.446359,5,294.242,35.766,2297.815,225.849,3053.028,1463.040,3056.282,253.631,4427.188,986.799
1.452609,5,299.847,38.684,2301.735,375.362,2838.099,895.963,3073.275,350.542,4395.885,930.553
